timestamp_ist,event_type,to,status,sid,message,intensity
2025-10-06 13:26:18,detection,,detected,,Fire detected,Low
2025-10-06 13:26:20,detection,,detected,,Fire detected,Low
2025-10-06 13:31:37,detection,,detected,,Fire detected,Low
2025-10-06 15:50:52,detection,,detected,,Fire detected,Low
2025-10-06 15:58:43,detection,,detected,,Fire detected,Low
2025-10-06 15:58:43,detection,,detected,,Fire detected,Low
2025-10-06 16:06:28,detection,,detected,,Fire detected,Low
2025-10-06 16:06:29,detection,,detected,,Fire detected,Low
2025-10-06 16:06:31,detection,,detected,,Fire detected,Low
2025-10-06 16:06:33,detection,,detected,,Fire detected,Low
2025-10-06 16:11:19,detection,,detected,,Fire detected,Low
2025-10-06 16:13:49,detection,,detected,,Fire detected,Low
2025-10-06 16:14:04,detection,,detected,,Fire detected,Low
2025-10-06 16:14:05,detection,,detected,,Fire detected,Low
2025-10-06 16:14:07,detection,,detected,,Fire detected,Low
2025-10-06 16:14:07,detection,,detected,,Fire detected,Low
2025-10-06 16:14:07,detection,,detected,,Fire detected,Low
2025-10-06 16:14:07,detection,,detected,,Fire detected,Low
2025-10-06 16:14:08,detection,,detected,,Fire detected,Low
2025-10-06 16:14:08,detection,,detected,,Fire detected,Low
2025-10-06 16:14:08,detection,,detected,,Fire detected,Low
2025-10-06 16:14:08,detection,,detected,,Fire detected,Low
2025-10-06 16:16:06,detection,,detected,,Fire detected,Low
2025-10-06 16:16:07,detection,,detected,,Fire detected,Low
2025-10-07 13:29:43,detection,,detected,,Fire detected,Low
2025-10-07 14:17:00,detection,,detected,,Fire detected,Low
2025-10-07 14:17:00,detection,,detected,,Fire detected,Low
2025-10-07 14:17:00,detection,,detected,,Fire detected,Low
2025-10-07 14:17:44,detection,,detected,,Fire detected,Low
2025-10-07 14:17:44,detection,,detected,,Fire detected,Low
2025-10-07 14:17:44,detection,,detected,,Fire detected,Low
2025-10-07 14:17:45,detection,,detected,,Fire detected,Low
2025-10-07 14:17:48,detection,,detected,,Fire detected,Low
2025-10-17 12:33:52,detection,,detected,,Fire detected,Low
2025-10-17 12:33:53,detection,,detected,,Fire detected,Low
2025-10-17 12:34:09,detection,,detected,,Fire detected,Low
2025-10-28 23:03:00,detection,,detected,,Fire detected,Low
2025-10-29 15:23:15,detection,,detected,,Fire detected,Low
2025-10-29 15:23:16,detection,,detected,,Fire detected,Medium
2025-10-29 15:23:17,detection,,detected,,Fire detected,Low
